chokepoint,2020,2021,2022,2023,2024,1H2025
Strait of Malacca,22.8,22.1,23.0,24.0,22.5,23.2
Strait of Hormuz,19.2,19.7,21.9,21.8,20.7,20.9
Suez Canal and SUMED Pipeline,5.4,5.2,7.3,8.8,4.8,4.9
Bab el-Mandeb,5.7,6.0,8.0,9.3,4.1,4.2
Danish Straits,3.2,3.4,3.7,4.2,4.6,4.9
Turkish Straits,3.1,3.3,3.5,3.6,3.7,3.7
Cape of Good Hope,4.6,4.5,4.8,6.4,8.5,9.1
Panama Canal,2.5,2.8,2.6,2.4,2.2,2.3
