destination,region,share_percent,note
China,Ásia,37.0,Maior destino
Índia,Ásia,14.4,Descontos russos
Coreia do Sul,Ásia,11.8,68% via Ormuz
Japão,Ásia,10.7,95% do Médio Oriente
Outros Ásia,Ásia,15.0,
EUA,Américas,2.5,Mínimo de 40 anos
Europa,Europa,5.6,Rotas Suez/Cabo
Resto,Resto,2.9,
